var;en
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_GROUP_USER_JOINED_AUTOACCEPT;Someone was autoaccepted to your plan
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_USER_MESSAGE;You have new messages
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_USER_NEW_HIGH_FIVE;Someone gave you a high five
LANG_Profile_ProfileSettings_Notifications_Types.TYPE_COMMENT_USER_TAG;Someone tagged you in a comment
LANG_Profile_ProfileSettings_Devices_Name;Device
LANG_Profile_ProfileSettings_Devices_BindTime;First used
LANG_Profile_ProfileSettings_Devices_LastUsage;Last used
LANG_Profile_ProfileSettings_Devices_Actions;Actions
LANG_Profile_ProfileSettings_Devices_Desc;This screen allows you to review devices which you used to access the portal.
LANG_Profile_ProfileSettings_Devices_Browser;Desktop browser
LANG_Profile_ProfileSettings_Devices_Block;Block
LANG_Profile_ProfileSettings_Devices_Unblock;Unblock
LANG_Profile_ProfileSettings_AreYouSure;Are you sure that you want to save the settings?
LANG_Profile_statGroupsCreated;Plans created
LANG_Profile_statGroupsJoined;Plans joined
LANG_Profile_statContacts;Contacts
LANG_Profile_GighFive;High five
LANG_Profile_EditHighFive;Edit high five;
LANG_Profile_DeleteHighFive;Delete high five;
LANG_Profile_DeleteHighFiveText;Do you really want to delete this high five?
LANG_Profile_HighFiveDelete;Delete;
LANG_Profile_HighFiveEdit;Edit;
LANG_Profile_profileViews;Views
LANG_Profile_ExistingImages;Existing images
LANG_Profile_setAsThumbnail;Set as avatar
LANG_Profile_Captions;Captions
LANG_Profile_AddImages;Add images
LANG_Profile_Photo_Tagline_2;Optimal avatar size size is 120px x 120px and less than 10MB.
LANG_Profile_UnsupportedBrowser;Gociety performs best on Internet Explorer 10 & 11,  the newest Chrome, Firefox and Safari on Mac browsers
LANG_Menu_Welcome;Welcome
LANG_Menu_Settings;settings
LANG_Menu_About;about us
LANG_Menu_Blog;Blog
LANG_Menu_Logout;Logout
LANG_Menu_Discovery_Feed;Discovery Feed
LANG_Menu_Discovery_Rundowns;Trip reports
LANG_Menu_Notifications;Notifications
LANG_Discovery_LookingFor;I'm looking for:
LANG_Discovery_Filter;Filter
LANG_Discovery_Groups;Plans
LANG_Discovery_Groups_NoItem;There are no plans matching given criteria.
LANG_Discovery_Happenings;Happenings
LANG_Discovery_Happenings_NoItem;There are no happenings matching given criteria.
LANG_Discovery_my;my
LANG_Discovery_Create_Group;Make a Plan >
LANG_Discovery_Create_Group_Text;Get out of the house and onto the VERTICAL
LANG_Discovery_Create_Happening;Create a Happening >
LANG_Discovery_Filter_Keyword;Keyword search
LANG_Discovery_Filter_ApproxTime;Approximate time
LANG_Discovery_Filter_DateRange;Date range
LANG_Discovery_Filter_Sport;Sport
LANG_Discovery_Filter_Intensity;Intensity
LANG_Discovery_Filter_Location;Location
LANG_Discovery_Filter_Search;Search
LANG_Discovery_Filter_Cancel;Cancel
LANG_Discovery_Filter_Reset;Reset
LANG_Discovery_Filter_NoIntensities;Choose a sport first.
LANG_Discovery_Filter_notShowExpired;Do not show expired.
LANG_Discovery_Filter_Sorting;Sort by
LANG_Discovery_Filter_Sorting_Opts[0];active first
LANG_Discovery_Filter_Sorting_Opts[1];most recent
LANG_Discovery_Filter_Sorting_Opts[2];nearest to me
LANG_Discovery_Filter_Sorting_Opts[3];event time
LANG_Discovery_Filter_NoMatch;No items matching your criteria.
LANG_Discovery_NoItems;No items found.
LANG_Discovery_Filter_To;to
LANG_CreateGroup_Btn_Text;Make a Plan
LANG_CreateGroup_TextOnForm;Start a Gociety plan whenever you’re heading outdoors, and get some awesome people to join you. Post last-minute or a week before. Gociety is all about creating spontaneous, one-time get togethers. You have the chance to accept or deny members into your Gociety plan, ensuring you get outside with the best people for any adventure.
LANG_CreateRundown_Btn_Text;Post a Trip report
LANG_ConvertRundown_Btn_Text;Convert to Trip report
LANG_Btn_ShareToFacebook;Share to Facebook
LANG_Btn_ShareToTwitter;Share to Twitter
LANG_Btn_Edit;Edit
LANG_Btn_PostAsRundown;Post as Trip report
LANG_Btn_Pending;Pending
LANG_Btn_Join;Join
LANG_Btn_AcceptInvitation;Accept Invitation
LANG_Btn_AddToBookmarks;Add to Bookmarks
LANG_Btn_AddedToBookmarks;Added to Bookmarks
LANG_Btn_InviteContacts;Invite contacts
LANG_Btn_Leave;Leave
LANG_Btn_PostIt;Looks good? Post it!
LANG_AlreadyConvertedRundown_Btn_Text;Already converted
LANG_CreateGroup_PageTitle;Make a Plan
LANG_CreateGroup_PageTitle_Edit;Edit your Plan
LANG_CreateGroup_Title;* I plan to...
LANG_CreateGroup_Title_Placeholder;max 40 characters
LANG_CreateGroup_Location;* Location
LANG_CreateGroup_Location_Placeholder;nearest city, state
LANG_CreateGroup_ThumbPhoto;Thumbnail photo
LANG_CreateGroup_ThumbPhoto_Tagline;Optimal size is 230px x 250px and less than 10MB.
LANG_CreateGroup_Photo;Plan space photo
LANG_CreateGroup_Photo_Tagline;This is your chance to be creative. If you can't think of something awesome, go snap a photo of your running shoes or your skis.
LANG_CreateGroup_Photo_Tagline_2;For best results use horizontal photos. Optimal banner size is 720 x 250 px and less than 10MB. You can add up to 5 images. 
LANG_CreateGroup_Date;* Date
LANG_CreateGroup_Date_Starting_on;* Date starting
LANG_CreateGroup_Date_To;Date ending
LANG_CreateGroup_Sport;* Category
LANG_CreateGroup_Intesity;* Pace
LANG_CreateGroup_Description;* Description
LANG_CreateGroup_Description_Placeholder;max 200 characters
LANG_CreateGroup_Create_Button;Save
LANG_CreateGroup_Cancel_Button;Cancel
LANG_CreateGroup_ApproxTime;* Approximate time
LANG_CreateGroup_Photo_Change;Keep the photo
LANG_CreateGroup_Country;Country
LANG_CreateGroup_ZipCode;Zip code
LANG_CreateGroup_State;State
LANG_CreateGroup_SelectState;Select state
LANG_CreateGroup_AddImages;Add Banner Images
LANG_CreateGroup_ExistingImages;Existing images
LANG_CreateGroup_Tour_Button;Tour
LANG_CreateGroup_AutoAccept;Auto accept
LANG_CreateGroup_AutoAcceptText;Check this box to allow anyone to join your plan. Leave it unchecked if you want to control who can join your plan
LANG_CreateGroup_Preview;Please fill in all required fields
LANG_CreateGroup_Subcategory;Sub-category
LANG_CreateRundown_PageTitle;Post a Trip report
LANG_CreateRundown_PageTitle_Edit;Edit your Trip report
LANG_CreateRundown_RundownDesc1;What’s a Trip report?
LANG_CreateRundown_RundownDesc2;Trip reports are trip reports from adventures you’ve been on. Gociety is all about spontaneity and discovery, and posting a Trip report is the best way to share your experiences with the Gociety community, and be inspired by the places other people have gone. Think of it as a visual journal for your outdoor life.
LANG_CreateRundown_Title;* Trip title
LANG_CreateRundown_Location;* Nearest City, State
LANG_CreateRundown_LocationInfo;Location (140 characters max)
LANG_CreateRundown_Description;* Description
LANG_CreateRundown_Sport;* Sport
LANG_CreateRundown_Intesity;* Intensity
LANG_CreateRundown_LevelOfFun;* Level of Fun
LANG_CreateRundown_Date_Starting_on;* Trip date
LANG_CreateRundown_Date_Ending_on;Trip end date
LANG_CreateRundown_Conditions;Conditions (140 characters max)
LANG_CreateRundown_WhyGoNow;Why go now (140 characters max)
LANG_CreateRundown_DontMiss;Don’t miss (140 characters max)
LANG_CreateRundown_BewareOf;Beware of (140 characters max)
LANG_CreateRundown_Tags;Tags (words or phrases)
LANG_CreateRundown_ExistingImages;Existing images
LANG_CreateRundown_AddImages;Add images
LANG_CreateRundown_Photo_Tagline_2;For best results use horizontal photos. Optimal banner size is 720 x 250 px and less than 10MB. You can add up to 5 images. 
LANG_CreateRundown_Create_Button;Save
LANG_CreateRundown_Cancel_Button;Cancel
LANG_CreateRundown_textPostARundown;Post a Trip report
LANG_CreateRundown_viewRundownDetails_label;AT A GLANCE
LANG_CreateRundown_Label_city;NEAREST CITY, STATE
LANG_CreateRundown_Label_location;LOCATION
LANG_CreateRundown_Label_sportIntencity;SPORT & INTENSTIY
LANG_CreateRundown_Label_levelOfFun;LEVEL OF FUN
LANG_CreateRundown_Label_conditions;CONDITIONS
LANG_CreateRundown_Label_whyGoNow;WHY GO NOW
LANG_CreateRundown_Label_bewareOf;BEWARE OF
LANG_CreateRundown_Label_dontMiss;DON’T MISS
LANG_CreateRundown_Label_views;VIEWS
LANG_CreateRundown_Label_rundown;TRIP REPORT
LANG_CreateRundown_setAsThumbnail;Set as thumbnail
LANG_CreateRundown_Captions;Caption:
LANG_CreateRundown_PH_Name;city, state
LANG_CreateRundown_PH_Conditions;i.e. stormy, sunny and hot, very cold and snowing, etc.
LANG_CreateRundown_PH_LocationInfo;i.e. Indian Peaks Wilderness, Devil's Thumb, etc.
LANG_CreateRundown_PH_WhyGoNow;i.e. fall foliage, views, etc.
LANG_CreateRundown_PH_DontMiss;i.e. the view at 14k feet, Lake Trill, etc.
LANG_CreateRundown_PH_BewareOf;i.e. water on the trail, ice on the run, etc.
LANG_CreateRundown_PH_Tags;i.e. backcountry, vail pass, wilderness area etc.
LANG_ViewGroup_NoPhoto;No photo
LANG_ViewGroup_Details_Heading;The Details
LANG_ViewGroup_Bookmark;Bookmark
LANG_ViewGroup_RSVP;RSVP
LANG_ViewGroup_Join;Join
LANG_ViewGroup_Pending;Pending
LANG_ViewGroup_GroupCreator;Creator
LANG_ViewGroup_Accept;Accept
LANG_ViewGroup_Decline;Decline
LANG_ViewGroup_Leave;Leave
LANG_ViewGroup_MembersTab;Members | 
LANG_ViewGroup_MembersTabNeedSignIn;Members 
LANG_ViewGroup_NeedSignIn;Sign in to view members. 
LANG_ViewGroup_MembersTabSingle;Member
LANG_ViewGroup_PostsTab;Messages
LANG_ViewGroup_PostsTabSingle;Message
LANG_ViewGroup_Post_Says; says
LANG_ViewGroup_NoPosts;No comments yet!
LANG_ViewGroup_WritePost;Post
LANG_ViewGroup_WritePostEditCancel;Cancel
LANG_ViewGroup_PostDelete;Delete
LANG_ViewGroup_PostEdit;Edit
LANG_ViewGroup_Share;Share
LANG_ViewGroup_DisplayAll;Display all comments
LANG_ViewGroup_Invite;Invite
LANG_ViewGroup_InvitePopup_Invite;Send invitation
LANG_ViewGroup_InviteTitle;Invite
LANG_ViewGroup_InviteInputPlaceholder;Search Contacts
LANG_ViewGroup_Invite_NoContacts;You don't have anyone to invite.
LANG_ViewGroup_Invite_Ok;Your invitation has been successfully sent.
LANG_ViewGroup_Invite_Fail;Some error happened. Please try again.
LANG_ViewGroup_SignInToSeePosts;Sign in to view comments.
LANG_ViewGroup_PostsCaption;Comments
LANG_ViewGroup_Expired;Looks like this plan has ended!
LANG_ViewGroup_Expired_CreateOwn;Start your own?
LANG_ViewGroup_GroupRundowns;Trip reports
LANG_ViewGroup_PostLockOn;on
LANG_ViewGroup_PostLockOff;off
LANG_ViewGroup_PostLockOnText;Messages viewable to the public
LANG_ViewGroup_PostLockOffText;Messages can only be viewed by members
LANG_ViewGroup_BecomeAMember;Become a member
LANG_ViewGroup_Or;or
LANG_ViewGroup_SignIn;sign in
LANG_ViewGroup_ToJoin; to ask questions about this plan!
LANG_ViewGroup_KnowMore;Want to know more about this plan?
LANG_ViewGroup_AskHere;Ask here!
LANG_ViewGroup_Delete_Question;Are you sure you would like to delete this plan
LANG_ViewGroup_Delete;Delete
LANG_CreateHappening_PageTitle;Create a Happening
LANG_CreateHappening_PageTitle_Edit;Edit your Happening
LANG_CreateHappening_Title;Title *
LANG_CreateHappening_Title_Placeholder;max 40 characters
LANG_CreateHappening_Location;Location *
LANG_CreateHappening_Location_Placeholder;nearest city, state
